"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-73886","Chromosome Maintenance","49/1540","109/8772",2.372999827721e-11,2.21551893006316e-09,1.84162953137008e-09,"Hist1h2an/Rsf1/Cenpt/Oip5/Dna2/H2ac4/H2ac10/H2bc4/H2afx/Rpa1/Pole/Lig1/Cenpn/Prim1/Dkc1/Cenpq/Rfc4/Pold1/Cenpk/Pola2/Pole2/Cenpa/Prim2/Rpa3/Rfc5/H2bc3/H2ac11/Cenph/Pold2/H3c8/H2bc21/H2ac20/Rfc3/H2bc12/Mis18bp1/H4c12/H3c11/Mis18a/Cenpm/H2bc14/H2afz/H4c1/H2bc7/H2bc13/H4f16/Pola1/H4c8/Acd/Pole4",49
"R-MMU-5693538","Homology Directed Repair","54/1540","130/8772",9.5666892284876e-11,8.18749153138064e-09,6.8057762844767e-09,"Dna2/Cdk2/Spidr/Eme1/Bard1/Brip1/H2bc4/Polh/H2afx/Rpa1/Pole/Timeless/Rad51ap1/Polq/Rtel1/Clspn/Rfc4/Tipin/Pold1/Brca2/Exo1/Pole2/Gen1/Rad51/Blm/Rpa3/Ccna2/Rfc5/H2bc3/Chek1/Pold2/Babam2/H3c8/H2bc21/Rad51c/Rfc3/Brca1/H2bc12/Rps27a/Topbp1/Rad51b/H4c12/Rnf4/H3c11/Xrcc2/H2bc14/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/H4f16/H4c8/Pole4",54
"R-MMU-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","53/1540","127/8772",1.15937465087658e-10,9.15905974192496e-09,7.61338333490611e-09,"Dna2/Cdk2/Spidr/Eme1/Bard1/Brip1/H2bc4/Polh/H2afx/Rpa1/Pole/Timeless/Rad51ap1/Rtel1/Clspn/Rfc4/Tipin/Pold1/Brca2/Exo1/Pole2/Gen1/Rad51/Blm/Rpa3/Ccna2/Rfc5/H2bc3/Chek1/Pold2/Babam2/H3c8/H2bc21/Rad51c/Rfc3/Brca1/H2bc12/Rps27a/Topbp1/Rad51b/H4c12/Rnf4/H3c11/Xrcc2/H2bc14/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/H4f16/H4c8/Pole4",53
"R-MMU-69618","Mitotic Spindle Checkpoint","47/1540","107/8772",1.62020208792206e-10,1.1885339602114e-08,9.87957814514883e-09,"Ube2c/Cenpt/Ercc6l/Aurkb/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Sgo2a/Cdc20/Spc25/Ska1/Anapc16/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Anapc5/Cenpf/Cenpm/Nup133/Nup160/Spdl1/Nde1",47
"R-MMU-194315","Signaling by Rho GTPases","125/1540","428/8772",7.90403768684732e-10,5.41163113626146e-08,4.498368115111e-08,"Net1/Tubb6/Hist1h2an/Mapk11/Flna/Cenpt/Ercc6l/Aurkb/H2ac4/Tuba1a/Zwilch/H2ac10/Kntc1/H2bc4/H2afx/Racgap1/Mad2l1/Prc1/Fmnl3/Arhgap15/Bub1/Nup37/Nckap1/Plk1/Cit/Cdca8/Cenpn/Rangap1/Fam13b/Vav2/Fgd4/Arhgap18/Spc24/Nup107/Ppp2r1a/Rhoc/Birc5/Kif2c/Kif18a/Taok1/Sos2/Bub1b/Diaph3/Arhgef1/Pmf1/Cenpq/Nuf2/Sgo1/Klc4/Arhgef3/Rhou/Rhoj/Ndc80/Ect2/Cenpk/H3c3/Dsn1/Rock1/Ctnna1/Cenpa/Kif14/Sgo2a/Cybb/Myl9/Plekhg2/Cdc20/Tubb4b/Tuba1c/H2bc3/Spc25/Ska1/Incenp/Iqgap3/Cenpe/H2ac11/Cenph/Cdc25c/H3c8/Nup43/H2bc21/H2ac20/Actg1/Diaph2/Rac1/Ska2/Depdc1b/Ppp2r5d/Cyfip1/H2bc12/Src/H4c12/Tubb2a/Cenpf/Arhgap29/Srgap3/Arhgap17/Prkca/H3c11/Cenpm/Arhgap31/Nup133/Tuba1b/Arhgap36/Arhgap21/Arhgef10l/Arap3/Arhgef39/H2bc14/Nup160/Arhgef11/H2afz/H4c1/Arhgap42/H2bc7/H2bc13/Iqgap2/Spdl1/Stard13/H4f16/H4c8/Fgd2/Nde1/Sos1/Fmnl2/Arhgef12",125
"R-MMU-5693532","DNA Double-Strand Break Repair","59/1540","157/8772",1.47502024945808e-09,9.46778622620907e-08,7.87000935730595e-08,"Dna2/Cdk2/Spidr/Eme1/Bard1/Brip1/H2bc4/Polh/H2afx/Rpa1/Pole/Timeless/Eya4/Trp53/Rad51ap1/Polq/Rtel1/Clspn/Rfc4/Kpna2/Tipin/Pold1/Brca2/Dclre1c/Exo1/Pole2/Gen1/Rad51/Blm/Rpa3/Ccna2/Rfc5/H2bc3/Chek1/Pold2/Babam2/H3c8/H2bc21/Rad51c/Rfc3/Brca1/H2bc12/Rps27a/Topbp1/Rad51b/H4c12/Paxip1/Rnf4/H3c11/Xrcc2/H2bc14/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/H4f16/H4c8/Pole4",59
"R-MMU-157579","Telomere Maintenance","38/1540","84/8772",3.34585481936915e-09,2.02128994087772e-07,1.68017848824048e-07,"Hist1h2an/Dna2/H2ac4/H2ac10/H2bc4/H2afx/Rpa1/Pole/Lig1/Prim1/Dkc1/Rfc4/Pold1/Pola2/Pole2/Prim2/Rpa3/Rfc5/H2bc3/H2ac11/Pold2/H3c8/H2bc21/H2ac20/Rfc3/H2bc12/H4c12/H3c11/H2bc14/H2afz/H4c1/H2bc7/H2bc13/H4f16/Pola1/H4c8/Acd/Pole4",38
"R-MMU-5685942","HDR through Homologous Recombination (HRR)","31/1540","62/8772",4.74923998215348e-09,2.70970525648423e-07,2.25241732486928e-07,"Dna2/Spidr/Eme1/Bard1/Brip1/Polh/Rpa1/Pole/Rad51ap1/Rtel1/Rfc4/Pold1/Brca2/Exo1/Pole2/Gen1/Rad51/Blm/Rpa3/Rfc5/Chek1/Pold2/Rad51c/Rfc3/Brca1/Rps27a/Topbp1/Rad51b/Xrcc2/Rad9a/Pole4",31
"R-MMU-195258","RHO GTPase Effectors","95/1540","310/8772",6.79220054915966e-09,3.67136313894051e-07,3.05178650712935e-07,"Tubb6/Hist1h2an/Mapk11/Flna/Cenpt/Ercc6l/Aurkb/H2ac4/Tuba1a/Zwilch/H2ac10/Kntc1/H2bc4/H2afx/Mad2l1/Prc1/Fmnl3/Bub1/Nup37/Nckap1/Plk1/Cit/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Rhoc/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Diaph3/Pmf1/Cenpq/Nuf2/Sgo1/Klc4/Ndc80/Cenpk/H3c3/Dsn1/Rock1/Ctnna1/Cenpa/Kif14/Sgo2a/Cybb/Myl9/Cdc20/Tubb4b/Tuba1c/H2bc3/Spc25/Ska1/Incenp/Iqgap3/Cenpe/H2ac11/Cenph/Cdc25c/H3c8/Nup43/H2bc21/H2ac20/Actg1/Diaph2/Rac1/Ska2/Ppp2r5d/Cyfip1/H2bc12/Src/H4c12/Tubb2a/Cenpf/Prkca/H3c11/Cenpm/Nup133/Tuba1b/H2bc14/Nup160/H2afz/H4c1/H2bc7/H2bc13/Iqgap2/Spdl1/H4f16/H4c8/Nde1/Fmnl2",95
"R-MMU-180786","Extension of Telomeres","17/1540","24/8772",1.31201875986113e-08,6.7372163318869e-07,5.60024849603882e-07,"Dna2/Rpa1/Pole/Lig1/Prim1/Dkc1/Rfc4/Pold1/Pola2/Pole2/Prim2/Rpa3/Rfc5/Pold2/Rfc3/Pola1/Pole4",17
"R-MMU-174417","Telomere C-strand (Lagging Strand) Synthesis","16/1540","22/8772",1.95043230514462e-08,9.10497262447059e-07,7.56842392092005e-07,"Dna2/Rpa1/Pole/Lig1/Prim1/Rfc4/Pold1/Pola2/Pole2/Prim2/Rpa3/Rfc5/Pold2/Rfc3/Pola1/Pole4",16
"R-MMU-69190","DNA strand elongation","16/1540","22/8772",1.95043230514462e-08,9.10497262447059e-07,7.56842392092005e-07,"Dna2/Rpa1/Lig1/Prim1/Gins1/Gins2/Rfc4/Pold1/Pola2/Gins3/Prim2/Rpa3/Rfc5/Pold2/Rfc3/Pola1",16
"R-MMU-69242","S Phase","52/1540","142/8772",3.80998354779714e-08,1.70124047982072e-06,1.41414034657367e-06,"Ube2c/Cdc6/Dna2/Wee1/Stag2/Cdt1/Mcm6/Cdk2/Mcm5/Mcm7/Fzr1/Ccne2/Rpa1/Pole/Lig1/Mcm4/Mcm3/Prim1/Gins1/Cdca5/Mcm2/Gins2/Rfc4/Pold1/Orc4/Pola2/Gins3/Cdc25a/Pole2/Esco1/Prim2/Rpa3/Ccna2/Rfc5/Psmd3/Anapc16/Akt3/Pold2/Esco2/Cdc25b/Rfc3/Orc1/Ccne1/Anapc5/Mcm8/Rps27a/Cks1b/Wapl/Cdkn1b/Pola1/Pole4/Psmd4",52
"R-MMU-69481","G2/M Checkpoints","57/1540","163/8772",5.62173040995906e-08,2.40563213792831e-06,1.99965936950737e-06,"Mcm10/Cdk1/Ccnb1/Cdc6/Cdc45/Gtse1/Dna2/Wee1/Mcm6/Cdk2/Mcm5/Mcm7/Bard1/Brip1/H2bc4/H2afx/Rpa1/Trp53/Mcm4/Mcm3/Pkmyt1/Mcm2/Clspn/Rfc4/Orc4/Ccnb2/Exo1/Cdc25a/Blm/Rpa3/Rfc5/H2bc3/Psmd3/Chek1/Cdc25c/Babam2/H3c8/H2bc21/Rfc3/Orc1/Mcm8/Brca1/H2bc12/Cdc7/Rps27a/Topbp1/H4c12/H3c11/H2bc14/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/H4f16/H4c8/Psmd4",57
"R-MMU-2555396","Mitotic Metaphase and Anaphase","64/1540","193/8772",8.67505249039156e-08,3.56371156305285e-06,2.96230213461371e-06,"Tubb6/Ube2c/Cenpt/Lmnb1/Ercc6l/Fbxo5/Aurkb/Stag2/Tuba1a/Lmna/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Banf1/Sgo2a/Cdc20/Tubb4b/Tuba1c/Espl1/Psmd3/Spc25/Ska1/Anapc16/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Anapc5/Rps27a/Tubb2a/Cenpf/Cenpm/Nup133/Wapl/Tuba1b/Nup160/Spdl1/Nde1/Psmd4",64
"R-MMU-69306","DNA Replication","46/1540","123/8772",1.12152079544664e-07,4.43000714201422e-06,3.6824022878835e-06,"Ube2c/Mcm10/Cdc6/Cdc45/Dna2/Cdt1/Mcm6/Cdk2/Mcm5/Mcm7/Fzr1/Ccne2/Rpa1/Pole/Lig1/Mcm4/Mcm3/Prim1/Gins1/Mcm2/Gins2/Rfc4/Gmnn/Pold1/Orc4/E2f2/Pola2/Gins3/Pole2/Prim2/Rpa3/Ccna2/Rfc5/Psmd3/Anapc16/Pold2/Rfc3/Orc1/Ccne1/Anapc5/Mcm8/Cdc7/Rps27a/Pola1/Pole4/Psmd4",46
"R-MMU-68882","Mitotic Anaphase","63/1540","192/8772",1.68928745502797e-07,6.42554894931008e-06,5.34117787925022e-06,"Tubb6/Ube2c/Cenpt/Lmnb1/Ercc6l/Aurkb/Stag2/Tuba1a/Lmna/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Banf1/Sgo2a/Cdc20/Tubb4b/Tuba1c/Espl1/Psmd3/Spc25/Ska1/Anapc16/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Anapc5/Rps27a/Tubb2a/Cenpf/Cenpm/Nup133/Wapl/Tuba1b/Nup160/Spdl1/Nde1/Psmd4",63
"R-MMU-2467813","Separation of Sister Chromatids","60/1540","182/8772",2.7618986908765e-07,1.01302498411792e-05,8.42067608383776e-06,"Tubb6/Ube2c/Cenpt/Ercc6l/Aurkb/Stag2/Tuba1a/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Sgo2a/Cdc20/Tubb4b/Tuba1c/Espl1/Psmd3/Spc25/Ska1/Anapc16/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Anapc5/Rps27a/Tubb2a/Cenpf/Cenpm/Nup133/Wapl/Tuba1b/Nup160/Spdl1/Nde1/Psmd4",60
"R-MMU-68875","Mitotic Prophase","48/1540","135/8772",3.54879982485194e-07,1.2567646276286e-05,1.04467392303264e-05,"Hist1h2an/Cdk1/Lmnb1/Ccnb1/Ndc1/H2ac4/Lmna/H2ac10/H2bc4/H2afx/Nup37/Plk1/Nup188/Nup93/Mastl/Nup107/Smc2/Ncapg2/Ccnb2/H3c3/Rab1b/Banf1/Nup155/H2bc3/H2ac11/Aaas/H3c8/Tpr/Nup43/H2bc21/H2ac20/Blzf1/Lpin1/H2bc12/H4c12/Prkca/H3c11/Nup133/H2bc14/Ncapd3/Nup160/Smc4/H2afz/H4c1/H2bc7/H2bc13/H4f16/H4c8",48
"R-MMU-5693607","Processing of DNA double-strand break ends","37/1540","94/8772",4.43097557769416e-07,1.51687063943064e-05,1.26088462930174e-05,"Dna2/Cdk2/Bard1/Brip1/H2bc4/H2afx/Rpa1/Timeless/Clspn/Rfc4/Tipin/Exo1/Blm/Rpa3/Ccna2/Rfc5/H2bc3/Chek1/Babam2/H3c8/H2bc21/Rfc3/Brca1/H2bc12/Rps27a/Topbp1/H4c12/Rnf4/H3c11/H2bc14/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/H4f16/H4c8",37
"R-MMU-69186","Lagging Strand Synthesis","13/1540","18/8772",5.12224111320842e-07,1.64647393155647e-05,1.36861616203792e-05,"Dna2/Rpa1/Lig1/Prim1/Rfc4/Pold1/Pola2/Prim2/Rpa3/Rfc5/Pold2/Rfc3/Pola1",13
"R-MMU-73894","DNA Repair","90/1540","314/8772",5.13020114993251e-07,1.64647393155647e-05,1.36861616203792e-05,"Pclaf/Hist1h2an/Dna2/H2ac4/Rad18/Cdk2/Spidr/Dtl/Eme1/H2ac10/Bard1/Brip1/Fancd2/H2bc4/Polh/H2afx/Rpa1/Pole/Timeless/Eya4/Lig1/Trp53/Usp1/Rad51ap1/Polq/Xpa/Rtel1/Clspn/Rfc4/Kpna2/Rev3l/Polr2g/Tipin/Pold1/Brca2/Fanci/Dclre1c/Exo1/Pole2/Gen1/Rad51/Blm/Rpa3/Polr2d/Ube2t/Ccna2/Rfc5/Neil3/Fanca/H2bc3/Chek1/H2ac11/Pold2/Babam2/Fancg/H3c8/H2bc21/H2ac20/Rad51c/Ddb1/Ube2b/Rfc3/Brca1/Ercc6/Faap24/Fancb/H2bc12/Rps27a/Topbp1/Rad51b/H4c12/Paxip1/Rnf4/Polr2f/H3c11/Fancm/Xrcc2/H2bc14/Rad9a/Nsd2/Gtf2h3/H2afz/H4c1/H2bc7/H2bc13/Msh2/H4f16/H4c8/Acd/Pole4",90
"R-MMU-1474244","Extracellular matrix organization","80/1540","271/8772",6.08225027826089e-07,1.89287001084058e-05,1.57343061424867e-05,"Bgn/Ctsk/Plec/Itga5/Mmp9/Adam8/Sparc/Fn1/Col1a2/Timp1/Mmp2/Crtap/Ddr2/Icam2/Sdc2/Plod1/Col1a1/Lox/Sdc1/Spp1/Emilin1/Fbln5/Ltbp2/Col6a1/Col12a1/Agrn/Fbn1/Mmp12/Tgfb2/Bmp1/Tnc/Dcn/Mmp14/Itgax/Itga8/Ppib/Itgb7/Mmp8/Loxl1/Itga6/Mmp13/Nid1/Loxl3/Col8a1/Capn5/Mmp16/Serpinh1/App/Dag1/Lamb1/Capn1/Capn2/Hspg2/Nid2/Efemp2/Adamts2/P3h1/Col5a2/Bsg/Scube3/Cd44/Adam19/Prkca/Pdgfa/Pcolce/Plod2/Ltbp1/4930486L24Rik/Loxl2/Ibsp/Ctsl/Pdgfb/Bmp2/Try10/Pecam1/Lama3/Colgalt1/Itgav/Col5a1/Pxdn",80
"R-MMU-453279","Mitotic G1-G1/S phases","45/1540","126/8772",7.10089751064094e-07,2.14488874806713e-05,1.782918848647e-05,"Mcm10/Cdc6/Cdc45/Cdk6/Wee1/Cdt1/Mcm6/Cdk2/Mcm5/Mcm7/Ccne2/Rpa1/Pole/Rbl1/Mcm4/Ccnd2/Mcm3/Ppp2r1a/Prim1/Mcm2/Rbl2/Gmnn/Orc4/E2f2/Pola2/Cdc25a/Pole2/Prim2/Rpa3/Ccna2/Psmd3/Akt3/E2f4/Tfdp1/Orc1/Ccne1/Mcm8/Cdc7/Rps27a/Src/Cks1b/Cdkn1b/Pola1/Pole4/Psmd4",45
